UPTIMENANO,P
69294664063652,1016.57196
69294763636301,1016.5565
69294863208952,1016.54175
69294962842651,1016.52136
69295062384764,1016.5079300000001
69295161713213,1016.4926
69295261194288,1016.4757
69295360858513,1016.43616
69295460461688,1016.42206
69295560003813,1016.4141
69295659545938,1016.39355
69295759179639,1016.3749
69295858721764,1016.3539400000001
69295960461691,1016.3266
69296058050214,1016.3165
69296157622863,1016.3079
69296258538614,1016.2961
69296356768163,1016.2825300000001
69296456401864,1016.2653
69296556707115,1016.24835
69296655547164,1016.23114
69296755211389,1016.21246
69296854936664,1016.20074
69296954661939,1016.182
69297054020914,1016.1719
69297153624089,1016.1531
69297253074640,1016.13086
69297352677815,1016.10645
69297452189416,1016.0928
69297551853641,1016.0754400000001
69297651334716,1016.0673
69297751121041,1016.04474
69297850571590,1016.0328
69297956401871,1016.0089999999999
69298050052652,1015.9903
69298149747401,1015.9852
69298249381102,1015.97327
69298348892701,1015.9528
69298448495876,1015.9375
69298548190627,1015.91266
69298647641176,1015.8989999999999
69298746878051,1015.8854
69298846603326,1015.8734
69298946511751,1015.8580300000001
69299046237026,1015.8393
69299147641177,1015.815
69299245443376,1015.798
69299345046551,1015.7742
69299445962302,1015.7537
69299544252901,1015.73114
69299643795026,1015.7141
69299743245577,1015.6936599999999
69299843062428,1015.6659
69299942726653,1015.65405
69300041933002,1015.6291
69300141841427,1015.6138300000001
69300241383552,1015.6036
69300340925677,1015.5917
69300440498328,1015.5709
69300540132029,1015.5551
69300639674154,1015.53625
69300739185755,1015.5187400000001
69300838727880,1015.5017
69300938300531,1015.4830300000001
69301037903689,1015.4655
69301137384764,1015.4451
69301236926889,1015.4315
69301336560590,1015.4144
69301440437269,1015.39526
69301535858514,1015.3777
69301635522739,1015.3588
69301739735194,1015.3381
69301838605769,1015.32104
69301934606990,1015.3058
69302036133243,1015.2922
69302133691240,1015.2662
69302233202841,1015.2366300000001
69302334118592,1015.21796
69302432378665,1015.1922599999999
69302531890264,1015.1735
69302632073415,1015.1634
69302731127140,1015.1429
69302830699789,1015.12537
69302929936664,1015.0913
69303029814565,1015.07935
69303129356690,1015.05865
69303228898815,1015.041
69303328593566,1015.02234
69303427708341,1015.0065
69303527372566,1014.99115
69303627403091,1014.9844
69303726975742,1014.9669
69303826456817,1014.9549599999999
69303926059992,1014.93964
69304025663152,1014.9205
69304125174753,1014.9066
69304224838978,1014.893
69304324381103,1014.8811599999999
69304423862178,1014.8658
69304523434829,1014.8449
69304622976954,1014.8274
69304722519079,1014.8087
69304822213830,1014.79675
69304921847529,1014.7810699999999
69305021328604,1014.7624
69305120901253,1014.74176
69305220565478,1014.7209
69305320016029,1014.70905
69305419680254,1014.6949
69305521542281,1014.6778
69305618917128,1014.66077
69305718459253,1014.64465
69305819985506,1014.6293
69305917451929,1014.6122
69306017024580,1014.5876
69306117848755,1014.5722699999999
69306216108830,1014.5567
69306315681479,1014.5307
69306415773054,1014.5115
69306515345705,1014.49786
69306614491004,1014.477
69306714124705,1014.4582
69306813636304,1014.4377
69306913239479,1014.4205
69307012903689,1014.4085699999999
69307112323714,1014.3893
69307211957415,1014.3721
69307311469014,1014.35974
69307411011139,1014.3443599999999
69307510522738,1014.32196
69307610003813,1014.3047
69307709515412,1014.2895
69307809149113,1014.2673
69307908660712,1014.25366
69308008111263,1014.2344400000001
69308107714438,1014.2225300000001
69308207561813,1014.2055
69308307073414,1014.1936599999999
69308406523963,1014.17615
69308506096614,1014.1555
69308605608213,1014.1309
69308705394538,1014.11896
69308804784037,1014.1003
69308904448262,1014.08325
69309005180863,1014.0692
69309103593562,1014.06067
69309203166213,1014.0419
69309303593564,1014.0243
69309402372563,1014.0086699999999
69309501914688,1013.995
69309601670489,1013.9813
69309701090514,1013.9711
69309800693689,1013.9587
69309900235814,1013.9417
69310000052652,1013.92755
69310099442151,1013.91394
69310198892700,1013.8934300000001
69310298404301,1013.8761
69310398068526,1013.8535
69310497580125,1013.8382
69310597152776,1013.83014
69310696817001,1013.8024
69310796359126,1013.7852
69310895870725,1013.76825
69310995473900,1013.7563
69311094924449,1013.7422
69311194588674,1013.7269
69311294161325,1013.70605
69311393703450,1013.6839
69311493276101,1013.67145
69311592818226,1013.6524
69311692268777,1013.6388
69311791871952,1013.62006
69311891414077,1013.6007699999999
69311991047778,1013.5819
69312090528853,1013.5718
69312190864628,1013.5615
69312289735203,1013.5428
69312389338378,1013.52704
69312490925679,1013.51184
69312588453152,1013.49475
69312687934227,1013.4722
69312789552054,1013.4585599999999
69312887506877,1013.4467
69312987110039,1013.4261
69313086957414,1013.40875
69313186346913,1013.3946
69313285889038,1013.38104
69313385492213,1013.3729
69313485095388,1013.3537
69313584576463,1013.3368
