UPTIMENANO,P
68884386878507,1016.3656
68884486420632,1016.3452
68884591365687,1016.32654
68884685901706,1016.315
68884785657507,1016.2891
68884891487788,1016.2792
68884985199623,1016.2656
68885084863848,1016.2419
68885187183751,1016.21967
68885284314398,1016.20605
68885384161773,1016.19073
68885485565924,1016.1775
68885583459697,1016.1554
68885683123922,1016.13495
68885783398647,1016.1197
68885882696572,1016.1044
68885982238697,1016.0871
68886081902922,1016.0687
68886181597673,1016.0585
68886281261898,1016.0398
68886381078749,1016.0191
68886480559824,1015.9953
68886580193525,1015.9766
68886680254576,1015.9613
68886780468251,1015.9406
68886880010376,1015.92896
68886979399875,1015.92053
68887079125150,1015.90826
68887178758849,1015.8933
68887278484124,1015.8726
68887378331499,1015.8556
68887479430400,1015.8386
68887577537849,1015.8267
68887677202074,1015.81476
68887777720999,1015.7977
68887876744198,1015.7836
68887976347364,1015.7564
68888076255789,1015.7373
68888175920014,1015.7186
68888275584239,1015.70844
68888375187414,1015.69116
68888474790589,1015.67413
68888574607440,1015.66583
68888674271665,1015.6557
68888773966416,1015.6387
68888873813791,1015.6165
68888973233816,1015.6013
68889072959091,1015.579
68889172684366,1015.5601
68889272318067,1015.5377
68889372195968,1015.5207
68889471768617,1015.502
68889571341268,1015.4833
68889671097069,1015.4643
68889771493894,1015.451
68889870669719,1015.4354
68889970211844,1015.4116
68890072348597,1015.3896
68890169631870,1015.3759
68890269296095,1015.3572
68890369967646,1015.3368
68890468685595,1015.3058
68890568349820,1015.287
68890668288771,1015.27167
68890767830896,1015.26324
68890867678271,1015.24255
68890967128805,1015.236
68891066793030,1015.2207
68891166487781,1015.2017
68891266121482,1015.17926
68891365968857,1015.1674
68891465602556,1015.1469
68891565205731,1015.1312
68891664931006,1015.09216
68891764625757,1015.0767
68891864351032,1015.0597
68891963893157,1015.04443
68892063740532,1015.024
68892163343707,1015.00867
68892263099508,1014.9917
68892363984735,1014.978
68892462458484,1014.96106
68892562122709,1014.9471
68892662092184,1014.9318
68892761512209,1014.92
68892861390110,1014.89734
68892960810135,1014.8786
68893060718560,1014.86316
68893160413311,1014.8406
68893259985962,1014.8271
68893359863861,1014.81854
68893459405986,1014.80835
68893559039687,1014.79474
68893658764962,1014.7722
68893758459713,1014.76074
68893858246038,1014.74384
68893957849195,1014.728
68894057513420,1014.7179
68894157116595,1014.6956
68894256811344,1014.68036
68894356719769,1014.6633
68894456170320,1014.6458
68894555834545,1014.63617
68894657879722,1014.61346
68894755254571,1014.59827
68894855040896,1014.58124
68894956597673,1014.5553
68895054216722,1014.54
68895153941997,1014.5226
68895254430398,1014.50214
68895353575697,1014.4869
68895453239922,1014.47156
68895552965197,1014.4545
68895652568372,1014.43915
68895752324173,1014.4166
68895852079974,1014.3957
68895951622099,1014.3838
68896051347374,1014.37006
68896150920023,1014.3492
68896250706348,1014.32495
68896350523199,1014.31476
68896450034800,1014.2944
68896549699025,1014.2757
68896649454826,1014.25867
68896749027477,1014.2399
68896848874852,1014.2224
68896949180087,1014.202
68897048172762,1014.17773
68897147867511,1014.15735
68897248966414,1014.1404
68897347440163,1014.1199
68897446982288,1014.10114
68897546524413,1014.08746
68897646310738,1014.07733
68897746036013,1014.0599
68897845700238,1014.0373
68897945242363,1014.0254
68898045364464,1014.01013
68898145028689,1013.99817
68898244692914,1013.9744
68898344631865,1013.95905
68898444143466,1013.9348
68898543838215,1013.9196
68898643532966,1013.9025
68898743197191,1013.89075
68898843075092,1013.872
68898942586691,1013.81573
68899042220392,1013.80206
68899141915141,1013.7766
68899242342492,1013.7542
68899341457267,1013.73553
68899441029918,1013.7163
68899542769845,1013.7066
68899640541518,1013.6912
68899740205743,1013.66864
68899840785718,1013.6501
68899939747852,1013.63464
68900039351027,1013.6228
68900139045778,1013.61084
68900238679477,1013.5956
68900338618428,1013.5769
68900438099503,1013.56323
68900537824778,1013.55145
68900637550053,1013.5327
68900737153228,1013.5226
68900837061653,1013.5054
68900936603778,1013.4845
68901036176429,1013.4692
68901135932228,1013.4488
68901235626979,1013.4279
68901335443830,1013.40753
68901435047005,1013.40234
68901535382780,1013.394
68901634467029,1013.3804
68901734192304,1013.36505
68901834924905,1013.3481
68901933734430,1013.3292
68902033368131,1013.31226
68902132879730,1013.2935
68902232788155,1013.2818
68902332605006,1013.25946
68902432147131,1013.24414
68902531780830,1013.2255
68902631445055,1013.1948
68902731139806,1013.17566
68902831017707,1013.157
68902930712443,1013.1395
68903030193518,1013.1242
68903129857743,1013.114
68903229613544,1013.09875
68903329399869,1013.07996
68903428911468,1013.06476
68903528667269,1013.0472
68903628331494,1013.04034
68903728026245,1013.0353
68903828026246,1013.01794
68903927446271,1013.006
68904027110496,1012.9928
68904129003049,1012.9839
68904226499996,1012.9669
68904326438947,1012.9533
68904427507324,1012.9448
68904525675823,1012.9328
68904625370574,1012.92596
68904725340049,1012.92596
68904824912698,1012.9175
68904924485349,1012.90515
68905024058000,1012.90735
68905123966425,1012.90515
68905223508550,1012.9017
68905323264351,1012.9068
68905422684376,1012.8739
68905522165451,1012.8739
68905621738100,1012.86383
68905721310751,1012.857
68905820974976,1012.86383
68905920578133,1012.86725
68906020059208,1012.8587
68906119631857,1012.82605
68906219112932,1012.8413
68906318899257,1012.8447
68906418258232,1012.8548
68906517800357,1012.84296
68906617464582,1012.834
68906716976183,1012.83234
68906816793032,1012.83234
68906916152007,1012.82715
68907015663606,1012.82336
68907115205731,1012.8251
68907214747856,1012.8148
68907314473131,1012.8131
68907414503656,1012.8112
68907514442607,1012.81696
68907614412082,1012.8095
68907714564707,1012.80096
68907814869958,1012.8064
68907914015252,1012.8064
68908012763725,1012.80096
68908112000600,1012.7922
68908211512199,1012.7922
68908310352248,1012.7871
68908413191076,1012.79047
68908509070197,1012.79895
68908608307071,1012.80096
68908707360795,1012.7956
68908807360795,1012.79175
68908906414519,1012.77997
68909005804018,1012.77997
68909104979843,1012.7816
68909204369342,1012.7884
68909303819891,1012.7781
68909402843090,1012.77997
68909502481148,1012.7781
68909601779072,1012.77985
68909700924371,1012.7781
68909800466496,1012.7763
